source,scraped_at,url,sku,title,brand,price,currency,original_price,discount_pct,rating,review_count,in_stock,image_url,category
farfetch.com,2026-08-27T22:21:37.448852+00:00,https://www.farfetch.com/de/shopping/kids/boss-kidswear-jacke-mit-kontrastdetails-item-30083116.aspx,30083116,Jacke mit Kontrastdetails,BOSS Kidswear,48.0,EUR,109.0,56.0,,,True,https://cdn-images.farfetch-contents.com/30/08/31/16/30083116_59452471_480.jpg,sale
farfetch.com,2026-08-27T22:21:37.449327+00:00,https://www.farfetch.com/de/shopping/kids/diesel-kids-jogginganzug-mit-logo-detail-item-33139701.aspx,33139701,Jogginganzug mit Logo-Detail,Diesel Kids,52.0,EUR,130.0,60.0,,,True,https://cdn-images.farfetch-contents.com/33/13/97/01/33139701_64411000_480.jpg,sale
farfetch.com,2026-08-27T22:21:37.449348+00:00,https://www.farfetch.com/de/shopping/kids/lanvin-enfant-cropped-cardigan-mit-kapuze-item-30081580.aspx,30081580,Cropped-Cardigan mit Kapuze,Lanvin Enfant,108.0,EUR,245.0,55.9,,,True,https://cdn-images.farfetch-contents.com/30/08/15/80/30081580_59551523_480.jpg,sale
